cliente_id,idade,regiao,canal_aquisicao,tempo_contrato_meses,valor_mensalidade,produtos_contratados,num_reclamacoes,atraso_pagamentos,score_credito,variacao_gasto_pct,mes_referencia,cancelou
CLI00001,20,Sudeste,Loja física,39,296.83,4,3,0,713.0,-15.7,2023-08,0
CLI00002,55,Sul,Loja física,52,156.84,2,0,0,308.0,5.6,2023-08,0
CLI00003,21,Sudeste,Loja física,29,145.98,1,3,0,719.0,-16.2,2023-05,1
CLI00004,53,Sudeste,Digital,15,219.81,3,2,1,328.0,-7.2,2023-05,0
CLI00005,21,Sul,Digital,43,104.46,3,1,0,955.0,12.8,2023-07,0
CLI00006,59,Sudeste,Digital,8,287.39,1,1,1,647.0,-22.7,2023-04,1
CLI00007,26,Nordeste,Digital,21,246.49,4,2,0,960.0,-20.5,2023-02,0
CLI00008,57,Nordeste,Digital,39,72.25,2,1,0,875.0,-24.2,2023-02,0
CLI00009,68,Nordeste,,58,154.3,2,2,1,749.0,-12.9,2024-04,0
CLI00010,34,Nordeste,Digital,19,269.68,3,0,0,679.0,1.2,2023-12,1
CLI00011,34,Sul,Digital,23,286.08,4,1,0,998.0,-9.3,2024-03,0
CLI00012,50,Nordeste,Digital,11,166.75,4,2,0,665.0,22.6,2023-10,0
CLI00013,37,Sul,Digital,11,203.25,4,0,1,526.0,,2023-06,0
CLI00014,31,Norte,Loja física,24,91.66,2,2,0,417.0,-0.3,2024-01,0
CLI00015,39,Sudeste,Digital,53,297.69,4,2,1,,19.0,2023-06,0
CLI00016,69,Centro-Oeste,Digital,36,107.82,1,0,1,655.0,-20.0,2023-02,0
CLI00017,44,Sudeste,Telemarketing,40,285.58,5,1,0,553.0,13.0,2024-02,0
CLI00018,60,Sudeste,Digital,24,212.31,4,0,1,842.0,-3.5,2024-06,0
CLI00019,20,Sul,Digital,3,201.83,5,2,1,972.0,-6.8,2023-06,0
CLI00020,41,Sul,Indicação,22,178.07,2,0,0,743.0,9.2,2024-02,0
CLI00021,47,Sudeste,Digital,53,107.57,4,0,3,980.0,-6.2,2024-01,0
CLI00022,25,Sul,Indicação,2,94.03,3,0,0,380.0,2.7,2023-08,1
CLI00023,39,Nordeste,Digital,24,105.02,2,0,0,345.0,-1.5,2023-05,0
CLI00024,42,Sudeste,Loja física,44,96.51,1,0,0,,4.6,2024-01,0
CLI00025,27,Sul,Loja física,30,244.8,1,2,1,748.0,-7.6,2023-06,0
CLI00026,66,Sudeste,Telemarketing,38,137.43,5,1,1,706.0,13.9,2023-11,0
CLI00027,46,Sul,Loja física,2,64.36,5,5,0,582.0,-30.7,2024-04,1
CLI00028,57,Nordeste,Loja física,60,292.18,3,0,0,772.0,9.6,2023-05,0
CLI00029,18,Sudeste,Loja física,21,270.85,3,3,2,715.0,-28.4,2023-12,1
CLI00030,69,Norte,Digital,33,281.84,1,0,0,899.0,-11.3,2024-05,0
CLI00031,38,Sul,Loja física,12,298.63,4,2,1,420.0,7.8,2023-02,0
CLI00032,56,Nordeste,Digital,58,93.37,1,1,1,302.0,,2023-10,0
CLI00033,41,Nordeste,,22,148.96,1,2,0,615.0,2.5,2024-03,0
CLI00034,26,Centro-Oeste,Loja física,44,239.46,3,2,1,759.0,-20.6,2024-05,0
CLI00035,61,Sudeste,Indicação,25,223.91,5,0,0,526.0,,2024-01,0
CLI00036,43,Sudeste,Loja física,49,88.37,3,2,1,378.0,-15.2,2024-01,0
CLI00037,26,Sul,Indicação,27,253.86,3,2,0,956.0,-20.1,2024-04,0
CLI00038,37,Centro-Oeste,Digital,59,106.01,3,1,0,843.0,-25.9,2023-03,0
CLI00039,52,Sudeste,Digital,42,105.85,1,1,0,370.0,31.1,2023-04,0
CLI00040,53,Norte,Loja física,28,184.14,4,0,1,496.0,-2.7,2023-07,0
CLI00041,59,Sudeste,Loja física,60,198.13,1,1,1,357.0,-18.6,2023-03,0
CLI00042,53,Sudeste,Loja física,16,194.92,2,2,3,723.0,-8.4,2023-09,1
CLI00043,26,Sudeste,Indicação,15,72.77,3,2,0,768.0,0.5,2023-08,1
CLI00044,39,Sul,Digital,47,269.27,3,0,0,923.0,-5.7,2024-06,0
CLI00045,18,Centro-Oeste,Loja física,51,116.3,2,0,2,347.0,-19.0,2024-02,0
CLI00046,22,Sudeste,Digital,44,82.28,3,0,0,734.0,-13.5,2023-05,0
CLI00047,26,Sul,Digital,55,272.09,3,0,1,484.0,17.8,2023-03,0
CLI00048,54,Sudeste,Digital,52,288.81,3,0,1,464.0,-21.0,2023-10,0
CLI00049,55,Sul,Indicação,57,265.43,2,4,1,630.0,-30.0,2023-11,0
CLI00050,36,Sudeste,Loja física,3,252.28,1,0,0,629.0,-5.8,2024-05,0
CLI00051,25,Sul,Digital,37,213.71,3,1,2,420.0,,2023-08,1
CLI00052,59,Nordeste,Loja física,51,187.61,4,1,0,512.0,-13.6,2023-09,0
CLI00053,60,Sul,Digital,7,71.65,2,1,4,806.0,-18.8,2023-08,0
CLI00054,49,Sudeste,Indicação,21,152.01,5,2,0,852.0,-18.6,2023-02,0
CLI00055,30,Sudeste,Loja física,9,143.07,2,2,2,467.0,1.0,2023-04,1
CLI00056,37,Nordeste,Digital,39,114.84,1,1,0,845.0,3.9,2024-04,0
CLI00057,53,Nordeste,Telemarketing,18,230.76,2,2,1,726.0,-12.1,2023-09,1
CLI00058,60,Centro-Oeste,Digital,4,173.87,5,1,0,520.0,-1.4,2023-09,0
CLI00059,61,Nordeste,,25,70.16,4,1,1,309.0,-12.8,2023-05,0
CLI00060,54,Norte,Digital,60,104.95,5,5,1,419.0,6.0,2023-03,0
CLI00061,47,Sudeste,Digital,14,220.71,2,1,1,934.0,-22.2,2024-02,0
CLI00062,27,Sudeste,Loja física,50,68.93,5,1,1,546.0,2.5,2024-03,0
CLI00063,48,Sudeste,Digital,58,262.7,2,1,0,659.0,3.6,2023-06,0
CLI00064,42,Sul,Indicação,9,173.69,4,0,0,520.0,35.0,2024-04,0
CLI00065,46,Nordeste,Digital,26,170.05,4,0,0,805.0,-26.3,2023-10,0
CLI00066,41,Nordeste,Digital,53,198.0,1,0,0,357.0,39.8,2024-02,1
CLI00067,56,Sudeste,Loja física,2,256.07,4,2,1,759.0,11.4,2023-12,1
CLI00068,38,Sul,Digital,20,136.85,3,0,2,427.0,27.4,2023-09,0
CLI00069,58,Nordeste,Loja física,28,219.4,5,0,0,998.0,13.6,2023-12,0
CLI00070,26,Sul,Indicação,47,191.33,5,0,0,385.0,-14.2,2024-01,0
CLI00071,59,Sudeste,Loja física,60,116.66,2,0,0,403.0,9.9,2024-01,0
CLI00072,59,Nordeste,Digital,7,269.56,4,1,0,442.0,-10.0,2024-05,0
CLI00073,19,Sudeste,Loja física,44,249.26,1,1,2,504.0,-1.3,2023-02,1
CLI00074,21,Centro-Oeste,,8,214.51,1,0,0,940.0,-17.6,2023-09,0
CLI00075,25,Norte,Digital,47,262.55,1,2,1,337.0,-10.2,2023-08,1
CLI00076,49,Sudeste,Loja física,35,266.72,3,0,3,662.0,13.5,2023-07,0
CLI00077,31,Sudeste,Digital,14,226.99,4,1,1,920.0,6.6,2023-05,0
CLI00078,66,Nordeste,Indicação,17,259.15,1,0,1,608.0,15.4,2023-03,0
CLI00079,30,Sul,Indicação,36,224.27,3,3,0,351.0,-21.0,2024-01,1
CLI00080,38,Sudeste,Indicação,50,219.94,5,1,1,300.0,-28.1,2023-06,0
CLI00081,41,Centro-Oeste,Telemarketing,40,204.55,2,2,2,310.0,16.5,2023-11,1
CLI00082,67,Sul,Digital,4,238.08,4,1,0,939.0,15.4,2023-04,0
CLI00083,35,Sudeste,Digital,2,89.55,4,2,1,513.0,3.2,2023-03,1
CLI00084,62,Sul,Digital,6,270.12,5,0,2,855.0,6.3,2023-04,0
CLI00085,57,Sudeste,Digital,54,267.86,4,1,1,817.0,13.0,2023-03,0
CLI00086,43,Sudeste,Loja física,42,57.21,4,1,0,967.0,2.7,2024-01,0
CLI00087,49,Sul,Indicação,4,256.35,4,1,1,714.0,8.1,2024-03,1
CLI00088,61,Sudeste,Digital,54,82.12,4,2,1,307.0,12.2,2023-12,0
CLI00089,50,Sul,Loja física,29,133.68,3,1,0,304.0,-1.4,2024-03,0
CLI00090,69,Norte,Indicação,18,235.78,3,0,1,661.0,-5.2,2023-11,0
CLI00091,48,Centro-Oeste,Digital,26,90.09,2,1,2,,5.7,2023-11,0
CLI00092,35,Sudeste,Digital,44,254.39,4,1,0,411.0,34.0,2024-01,0
CLI00093,52,Sudeste,Loja física,34,257.93,5,2,0,572.0,-12.7,2023-12,0
CLI00094,29,Sul,Digital,10,176.77,1,0,0,721.0,-6.5,2023-06,0
CLI00095,68,Sul,Telemarketing,36,51.5,2,3,1,564.0,-26.3,2023-03,1
CLI00096,42,Centro-Oeste,Digital,14,121.66,1,2,0,757.0,6.5,2024-04,0
CLI00097,62,Sul,Indicação,31,204.13,1,2,1,511.0,-7.9,2023-09,0
CLI00098,48,Sudeste,Loja física,48,295.2,4,3,0,377.0,-21.0,2024-02,1
CLI00099,27,Sul,Digital,15,207.85,5,2,0,965.0,-1.0,2023-03,0
CLI00100,64,Nordeste,Digital,8,114.85,1,0,3,520.0,22.4,2023-03,0
CLI00101,69,Centro-Oeste,Digital,14,208.4,1,0,1,668.0,-5.3,2023-07,0
CLI00102,51,Sudeste,Digital,23,184.9,2,2,0,646.0,-3.9,2023-03,0
CLI00103,68,Sul,Digital,60,244.86,5,1,1,324.0,21.8,2023-01,0
CLI00104,20,Sudeste,Loja física,57,76.65,5,1,1,719.0,-0.1,2023-12,0
CLI00105,63,Sul,Loja física,40,240.16,1,2,2,653.0,-18.1,2023-06,1
CLI00106,56,Sudeste,Loja física,21,185.22,5,2,1,716.0,10.3,2023-07,0
CLI00107,25,Centro-Oeste,Digital,16,290.65,2,0,1,814.0,16.9,2023-02,1
CLI00108,49,Sul,Loja física,45,135.37,2,1,0,514.0,-3.0,2024-06,0
CLI00109,60,Centro-Oeste,Digital,18,208.06,2,0,0,411.0,2.0,2024-03,0
CLI00110,46,Norte,Telemarketing,47,282.91,4,1,0,858.0,-19.7,2024-03,0
CLI00111,39,Sudeste,Telemarketing,53,75.53,1,3,1,727.0,-13.1,2023-10,1
CLI00112,37,Nordeste,Indicação,24,284.21,5,0,0,998.0,-5.0,2024-05,0
CLI00113,23,Centro-Oeste,Indicação,26,221.87,2,2,0,861.0,1.2,2024-06,0
CLI00114,60,Sul,Digital,25,66.86,1,3,0,515.0,-9.3,2024-06,0
CLI00115,66,Sul,Digital,60,125.14,1,3,2,712.0,-5.6,2024-03,0
CLI00116,46,Sudeste,Indicação,60,226.94,4,2,2,679.0,-1.9,2023-06,0
CLI00117,59,Nordeste,Digital,60,66.74,5,3,1,901.0,-15.0,2023-09,0
CLI00118,34,Sudeste,Loja física,45,195.44,5,0,2,531.0,-4.0,2023-11,0
CLI00119,48,Sul,Indicação,41,136.37,2,4,2,557.0,17.3,2024-03,0
CLI00120,51,Sudeste,Loja física,29,205.13,2,3,1,964.0,-8.9,2023-03,0
CLI00121,55,Sudeste,Digital,15,61.34,1,0,2,555.0,-13.5,2023-01,1
CLI00122,54,Sudeste,Digital,45,267.78,5,2,0,702.0,31.3,2024-05,0
CLI00123,21,Sudeste,Digital,1,293.27,5,0,1,723.0,3.4,2023-11,0
CLI00124,19,Sul,Indicação,25,292.12,2,1,0,364.0,-11.6,2024-06,0
CLI00125,29,Sudeste,Loja física,7,237.31,3,0,1,489.0,9.7,2023-11,0
CLI00126,52,Sudeste,Telemarketing,9,82.42,1,2,0,902.0,3.8,2023-07,0
CLI00127,23,Nordeste,Indicação,24,239.47,5,0,0,472.0,-8.6,2023-01,0
CLI00128,63,Nordeste,Digital,1,56.05,4,0,0,927.0,-0.7,2023-12,0
CLI00129,25,Nordeste,Digital,44,55.43,4,1,1,860.0,-4.4,2023-04,0
CLI00130,38,Centro-Oeste,Loja física,8,130.8,3,3,0,526.0,14.9,2023-08,0
CLI00131,63,Sudeste,Telemarketing,24,172.06,2,1,0,880.0,10.2,2024-03,0
CLI00132,52,Sudeste,Digital,11,242.5,2,2,1,687.0,-32.1,2023-11,1
CLI00133,65,Sudeste,Indicação,51,220.72,2,0,0,700.0,28.5,2023-08,0
CLI00134,32,Centro-Oeste,Digital,17,161.38,4,0,0,937.0,-4.3,2023-12,0
CLI00135,24,Nordeste,Digital,8,118.31,2,1,3,512.0,25.8,2023-03,1
CLI00136,32,Sudeste,Telemarketing,35,299.18,4,1,1,352.0,10.7,2023-04,1
CLI00137,62,Sudeste,Digital,35,156.45,3,4,1,923.0,3.7,2023-12,0
CLI00138,23,Sul,,33,162.75,1,0,2,970.0,-1.4,2023-08,1
CLI00139,64,Sudeste,Digital,59,90.81,5,1,0,961.0,41.4,2023-10,0
CLI00140,34,Sul,Indicação,5,248.6,3,1,0,438.0,-4.1,2023-01,0
CLI00141,21,Centro-Oeste,Indicação,42,223.32,4,0,1,717.0,-10.1,2024-01,0
CLI00142,39,Sul,Indicação,39,105.09,3,0,1,924.0,-8.7,2023-07,0
CLI00143,49,Centro-Oeste,Digital,58,70.5,5,1,1,442.0,0.0,2023-03,0
CLI00144,39,Sudeste,Digital,41,220.02,1,1,2,808.0,-0.0,2024-04,0
CLI00145,44,Sul,Loja física,28,213.53,5,1,1,949.0,15.1,2023-12,0
CLI00146,63,Centro-Oeste,Digital,7,118.21,4,2,1,785.0,11.4,2023-05,1
CLI00147,32,Sul,Loja física,9,287.62,5,4,0,736.0,11.4,2024-06,0
CLI00148,61,Sul,Loja física,8,87.66,3,1,2,842.0,-3.4,2023-08,0
CLI00149,68,Nordeste,Digital,12,157.98,2,0,1,592.0,10.1,2023-12,0
CLI00150,39,Centro-Oeste,,34,285.8,3,2,2,919.0,11.7,2023-03,1
CLI00151,45,Sudeste,,33,154.83,4,3,0,583.0,-1.2,2024-04,0
CLI00152,59,Sudeste,Telemarketing,48,209.53,1,0,1,970.0,4.2,2023-10,0
CLI00153,55,Sudeste,Digital,55,149.3,5,1,1,313.0,11.7,2024-05,0
CLI00154,26,Centro-Oeste,Digital,23,118.45,1,0,2,933.0,3.2,2023-10,0
CLI00155,51,Norte,Digital,24,295.89,4,1,0,571.0,4.6,2023-03,0
CLI00156,53,Sudeste,Digital,37,152.23,5,1,1,,21.1,2023-02,0
CLI00157,26,Sudeste,Digital,35,273.42,3,1,0,621.0,3.3,2024-02,0
CLI00158,32,Centro-Oeste,Telemarketing,44,107.39,3,0,3,980.0,-9.1,2023-09,0
